duration,genre,movie_name,publication_year,ranking
2 godz. 55 min.,"Dramat,Gangsterski",Ojciec chrzestny,1972,"8,6"
1 godz. 52 min.,"Biograficzny,Dramat,Komedia",Nietykalni,2011,"8,6"
3 godz. 20 min.,"Dramat,Gangsterski",Ojciec chrzestny II,1974,"8,5"
2 godz. 22 min.,Dramat,Skazani na Shawshank,1994,"8,8"
2 godz. 22 min.,"Dramat,Komedia",Forrest Gump,1994,"8,5"
3 godz. 8 min.,Dramat,Zielona mila,1999,"8,6"
2 godz. 7 min.,"Kryminał,Thriller",Siedem,1995,"8,3"
3 godz. 15 min.,"Dramat,Wojenny",Lista Schindlera,1993,"8,4"
3 godz. 21 min.,"Fantasy,Przygodowy",Władca Pierścieni: Powrót króla,2003,"8,4"
1 godz. 36 min.,Dramat sądowy,Dwunastu gniewnych ludzi,1957,"8,7"
2 godz. 34 min.,Gangsterski,Pulp Fiction,1994,"8,3"
2 godz. 13 min.,"Dramat,Psychologiczny",Lot nad kukułczym gniazdem,1975,"8,5"
1 godz. 56 min.,"Dramat,Komedia,Wojenny",Życie jest piękne,1997,"8,4"
2 godz. 26 min.,"Dramat,Gangsterski",Chłopcy z ferajny,1990,"8,3"
2 godz. 59 min.,"Fantasy,Przygodowy",Władca Pierścieni: Dwie wieże,2002,"8,3"
2 godz. 15 min.,"Biograficzny,Dramat",Piękny umysł,2001,"8,3"
2 godz. 30 min.,"Biograficzny,Dramat,Wojenny",Pianista,2002,"8,3"
2 godz. 19 min.,"Thriller,Psychologiczny",Podziemny krąg,1999,"8,3"
2 godz. 2 min.,"Dramat,Kryminał,Psychologiczny",Joker,2019,"8,3"
2 godz. 45 min.,Western,Django,2012,"8,3"
1 godz. 56 min.,Dramat,Gran Torino,2008,"8,2"
1 godz. 58 min.,Thriller,Milczenie owiec,1991,"8,2"
2 godz. 50 min.,"Dramat,Gangsterski",Człowiek z blizną,1983,"8,2"
2 godz. 28 min.,"Surrealistyczny,Thriller,Sci-Fi",Incepcja,2010,"8,2"
2 godz. 50 min.,Sensacyjny,Gorączka,1995,"8,1"
1 godz. 59 min.,"Fantasy,Anime",Ruchomy zamek Hauru,2004,"8,0"
1 godz. 29 min.,"Animacja,Familijny",Król Lew,1994,"8,2"
1 godz. 57 min.,"Horror,Sci-Fi","Obcy - 8. pasażer ""Nostromo""",1979,"7,9"
1 godz. 30 min.,"Animacja,Familijny,Komedia",Shrek,2001,"7,8"
2 godz. 24 min.,Gangsterski,Życie Carlita,1993,"8,0"
2 godz. 26 min.,"Dramat,Thriller",Uśpieni,1996,"7,9"
1 godz. 47 min.,Thriller,Szósty zmysł,1999,"7,8"
2 godz. 26 min.,"Dramat,Sensacyjny",Człowiek w ogniu,2004,"7,9"
2 godz. 12 min.,Dramat,Parasite,2019,"8,1"
1 godz. 18 min.,Komedia obycz.,Sami swoi,1967,"7,8"
2 godz. 40 min.,"Biograficzny,Muzyczny",Amadeusz,1984,"8,1"
2 godz.,"Dramat,Wojenny",Pluton,1986,"8,1"
2 godz. 33 min.,Wojenny,Bękarty wojny,2009,"8,0"
2 godz. 5 min.,"Fantasy,Przygodowy,Anime",Spirited Away: W krainie Bogów,2001,"8,1"
1 godz. 49 min.,Thriller,Psychoza,1960,"8,1"
2 godz. 32 min.,Kryminał,Infiltracja,2006,"8,0"
2 godz. 1 min.,Dramat obyczajowy,Przebudzenia,1990,"8,1"
1 godz. 33 min.,Dramat,Mój przyjaciel Hachiko,2009,"8,0"
2 godz. 3 min.,Melodramat,Pamiętnik,2004,"8,0"
2 godz. 1 min.,"Biograficzny,Dramat",Bogowie,2014,"8,0"
3 godz. 1 min.,"Dramat,Musical",Skrzypek na dachu,1971,"8,0"
3 godz. 2 min.,"Akcja,Sci-Fi",Avengers: Koniec gry,2019,"8,0"
2 godz. 11 min.,Akcja,Top Gun: Maverick,2022,"8,0"
1 godz. 53 min.,Dramat,Taksówkarz,1976,"7,8"
2 godz. 8 min.,Thriller,Gra,1997,"7,8"
2 godz. 3 min.,Dramat,Siedem dusz,2008,"8,0"
1 godz. 36 min.,"Komedia,Sensacyjny",Chłopaki nie płaczą,2000,"7,8"
3 godz. 2 min.,"Dramat,Wojenny",Łowca jeleni,1978,"8,1"
2 godz. 1 min.,Dokumentalny,Tylko nie mów nikomu,2019,"8,0"
2 godz. 9 min.,"Dramat,Thriller",Lęk pierwotny,1996,"7,9"
1 godz. 58 min.,Dramat,Pokój,2015,"7,8"
2 godz. 26 min.,Horror,Lśnienie,1980,"7,8"
1 godz. 49 min.,Thriller,Prawo zemsty,2009,"7,8"
2 godz. 10 min.,"Dramat,Thriller",Miasto Boga,2002,"8,0"
2 godz. 8 min.,Dramat,Stowarzyszenie Umarłych Poetów,1989,"7,8"
1 godz. 47 min.,Komedia,Sens życia wg Monty Pythona,1983,"7,9"
2 godz. 49 min.,Sci-Fi,Interstellar,2014,"7,9"
1 godz. 31 min.,"Komedia,Kostiumowy,Przygodowy",Monty Python i Święty Graal,1975,"8,0"
1 godz. 39 min.,"Thriller,Gangsterski",Wściekłe psy,1992,"7,9"
1 godz. 56 min.,"Dramat,Wojenny",Full Metal Jacket,1987,"8,0"
2 godz. 13 min.,"Dramat,Komedia",Rain Man,1988,"8,0"
2 godz. 24 min.,Thriller,Adwokat diabła,1997,"7,9"
1 godz. 44 min.,Komedia kryminalna,Przekręt,2000,"8,0"
2 godz. 42 min.,"Dramat,Gangsterski",Ojciec chrzestny III,1990,"8,0"
1 godz. 35 min.,"Dramat,Muzyczny,Animacja dla dorosłych",Ściana,1982,"8,1"
2 godz.,Komedia,"Pół żartem, pół serio",1959,"7,9"
1 godz. 33 min.,"Dramat,Komedia,Psychologiczny",Dzień świra,2002,"7,8"
1 godz. 55 min.,Dramat,"Trzy billboardy za Ebbing, Missouri",2017,"7,9"
2 godz. 10 min.,"Dramat,Wojenny",Pogorzelisko,2010,"8,1"
1 godz. 45 min.,"Animacja,Familijny,Przygodowy",Coco,2017,"8,3"
2 godz. 1 min.,"Przygodowy,Sci-Fi",Gwiezdne wojny: Część IV - Nowa nadzieja,1977,"7,9"
3 godz. 46 min.,"Kostiumowy,Melodramat",Przeminęło z wiatrem,1939,"7,9"
2 godz. 18 min.,"Dramat,Thriller",Wyspa tajemnic,2010,"8,2"
1 godz. 59 min.,Dramat,Więzień nienawiści,1998,"8,2"
1 godz. 50 min.,"Dramat,Kryminał",Leon zawodowiec,1994,"8,1"
2 godz. 35 min.,Dramat historyczny,Gladiator,2000,"8,1"
2 godz. 10 min.,"Dramat,Komedia",Green Book,2018,"8,2"
2 godz. 50 min.,"Dramat,Wojenny",Szeregowiec Ryan,1998,"8,1"
1 godz. 45 min.,"Dramat,Muzyczny",Whiplash,2014,"8,1"
2 godz. 57 min.,Dramat historyczny,Braveheart - Waleczne Serce,1995,"8,1"
2 godz. 6 min.,Dramat obyczajowy,Buntownik z wyboru,1997,"8,1"
1 godz. 33 min.,"Dramat,Wojenny",Chłopiec w pasiastej piżamie,2008,"8,1"
2 godz. 3 min.,Dramat,Cinema Paradiso,1988,"8,1"
1 godz. 50 min.,"Biograficzny,Obyczajowy,Sportowy",Najlepszy,2017,"8,0"
1 godz. 46 min.,Kryminał,Contratiempo. Niewidzialny gość,2016,"8,0"
1 godz. 48 min.,"Animacja,Komedia,Przygodowy",Zwierzogród,2016,"7,9"
1 godz. 57 min.,"Animacja,Akcja,Sci-Fi",Spider-Man Uniwersum,2018,"8,0"
2 godz. 16 min.,"Dramat,Sci-Fi",Mechaniczna pomarańcza,1971,"7,9"
1 godz. 36 min.,"Dramat,Muzyczny",Pan od muzyki,2004,"8,0"
2 godz. 33 min.,Thriller,Labirynt,2013,"7,9"
2 godz. 11 min.,Dramat,Koneser,2013,"7,9"
1 godz. 36 min.,"Animacja,Komedia,Przygodowy,Świąteczny",Klaus,2019,"8,1"
2 godz. 14 min.,"Biograficzny,Dramat,Muzyczny",Bohemian Rhapsody,2018,"7,9"
2 godz. 9 min.,Komedia kryminalna,Żądło,1973,"8,1"
2 godz. 11 min.,"Dramat,Wojenny",Wróg u bram,2001,"7,9"
2 godz. 21 min.,Komedia kryminalna,"Złap mnie, jeśli potrafisz",2002,"7,9"
2 godz. 27 min.,"Dramat,Wojenny",Czas Apokalipsy,1979,"8,2"
2 godz. 10 min.,"Dramat,Thriller",Prestiż,2006,"8,1"
2 godz. 4 min.,"Przygodowy,Sci-Fi",Gwiezdne wojny: Część V - Imperium kontratakuje,1980,"8,1"
1 godz. 42 min.,Dramat,Requiem dla snu,2000,"7,8"
2 godz. 37 min.,Dramat,Zapach kobiety,1992,"8,1"
2 godz. 19 min.,"Biograficzny,Dramat,Wojenny",Przełęcz ocalonych,2016,"8,1"
3 godz. 23 min.,Dramat,Siedmiu samurajów,1954,"8,1"
1 godz. 38 min.,"Animacja,Familijny,Fantasy,Przygodowy",Jak wytresować smoka,2010,"7,9"
2 godz. 29 min.,"Akcja,Sci-Fi",Avengers: Wojna bez granic,2018,"8,1"
2 godz. 14 min.,"Przygodowy,Sci-Fi",Gwiezdne wojny: Część VI - Powrót Jedi,1983,"8,1"
2 godz. 59 min.,Western,"Dobry, zły i brzydki",1966,"8,2"
3 godz. 49 min.,"Dramat,Gangsterski",Dawno temu w Ameryce,1984,"8,2"
2 godz. 26 min.,Dramat,Służące,2011,"8,1"
2 godz. 58 min.,"Dramat,Gangsterski",Kasyno,1995,"8,1"
2 godz. 32 min.,"Akcja,Sci-Fi",Mroczny Rycerz,2008,"8,0"
1 godz. 57 min.,"Biograficzny,Dramat obyczajowy",W pogoni za szczęściem,2006,"8,1"
1 godz. 34 min.,Komedia,Żywot Briana,1979,"7,9"
2 godz. 13 min.,"Fantasy,Przygodowy,Anime",Księżniczka Mononoke,1997,"8,0"
2 godz. 58 min.,"Fantasy,Przygodowy",Władca Pierścieni: Drużyna Pierścienia,2001,"8,0"
2 godz. 5 min.,Dramat,Filadelfia,1993,"7,9"
2 godz. 7 min.,"Biograficzny,Dramat,Psychologiczny",Przerwana lekcja muzyki,1999,"7,9"
2 godz. 28 min.,"Biograficzny,Dramat,Przygodowy",Wszystko za życie,2007,"7,9"
3 godz. 56 min.,"Komedia,Przygodowy,Wojenny",Jak rozpętałem drugą wojnę światową,1969,"7,9"
1 godz. 37 min.,Dramat,Ojciec,2020,"8,1"
